time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-67,67,-718,1.4,20,0.20,2900.398438,0,0.0,0.0,33,223,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-67,67,-677,2.0,21,0.25,0.0,0.0,27,0.0,33,0.0,0.0,0.0,0.0,0.0,1.0
1743,0,1,3400,-67,67,-677,4.4,20,0.48,8637.450195,0,27,11,0.0,112924.304688,4,0.0,0.0,0.0,1.0
1992,0,1,3400,-67,67,-676,9.1,19,0.50,2358.565674,0,27,12,2.0,19697.210938,0,0.0,0.0,0.0,1.0
2241,0,1,3400,-67,67,-679,13,18,0.50,0.0,0.0,27,11,0.0,11936.000000,0,0.0,0.0,0.0,1.0
2490,0,1,3400,-67,67,-679,14,18,0.50,0.0,0.0,27,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2739,0,1,3400,-67,67,-679,13,18,0.50,10613.545898,0,27,11,37,0.0,0,0.0,0.0,0.0,1.0
2988,0,1,3400,-67,67,-675,12,17,0.50,5408.000000,0,27,12,186,67392.000000,0,0.0,0.0,0.0,1.0
3237,0,1,3400,-67,67,-677,11,17,0.50,26900.398438,0,27,7.2,0.0,48223.109375,4,0.0,0.0,0.0,1.0
3486,0,1,3400,-67,67,-679,13,17,0.50,21737.052734,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-67,67,-678,11,16,0.49,21632.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-67,67,-681,9.0,16,0.50,11633.465820,0,27,2.0,186,0.0,0.0,0.0,0.0,0.0,1.0
4233,0,1,3400,-68,68,-678,10,16,0.49,21673.306641,0,27,1.1,0.0,23426.294922,0,0.0,0.0,0.0,1.0
4482,0,1,3400,-68,68,-679,9.8,17,0.50,10976.000000,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4731,0,1,3400,-68,68,-677,8.9,16,0.50,11729.083984,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4980,0,1,3400,-68,68,-677,8.4,17,0.50,17306.773438,0,27,1.8,0.0,19633.466797,0,0.0,0.0,0.0,1.0
5229,0,1,3400,-68,68,-684,9.9,17,0.50,16896.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5478,0,1,3400,-68,68,-677,2.0,17,0.50,0.0,0.0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5727,0,1,3400,-68,68,-674,3.0,16,0.50,5609.561523,0,27,2.0,186,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-68,68,-678,8.5,16,0.49,5600.000000,0,27,11,0.0,126016.000000,5,0.0,0.0,0.0,1.0
6225,0,1,3400,-69,69,-678,8.1,15,0.50,11123.505859,0,27,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6474,0,1,3400,-68,68,-674,6.7,16,0.50,20366.533203,0,27,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6723,0,1,3400,-68,68,-676,7.8,16,0.54,20160.000000,6,27,14,186,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-68,68,-676,9.8,16,0.50,19697.210938,0,27,4.6,0.0,16063.745117,0,0.0,0.0,0.0,1.0
7221,0,1,3400,-68,68,-672,7.0,16,0.49,5664.000000,0,27,0.040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7470,0,1,3400,-68,68,-670,8.6,16,0.49,45545.816406,0,27,0.024,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7719,0,1,3400,-68,68,-677,8.0,17,0.50,10964.143555,0,27,0.0080,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7968,0,1,3400,-68,68,-688,7.1,16,0.50,11008.000000,0,27,4.0,0.0,24256.000000,0,0.0,0.0,0.0,1.0
8217,0,1,3400,-68,68,-680,6.3,16,0.49,11601.593750,0,27,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466,0,1,3400,-68,68,-674,7.6,15,0.50,22693.226562,0,27,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8715,0,1,3400,-68,68,-677,11,15,0.50,5248.000000,0,27,11,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-68,68,-685,11,15,0.50,16605.578125,0,27,9.3,0.0,28525.896484,0,0.0,0.0,0.0,1.0
9213,0,1,3400,-69,69,-681,7.3,15,0.50,16924.302734,0,27,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-68,68,-677,9.8,15,0.50,22464.000000,0,27,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-68,68,-678,6.9,16,0.50,11219.123047,0,27,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-68,68,-674,8.5,16,0.50,28908.367188,0,27,4.5,0.0,48127.488281,40,0.0,0.0,0.0,1.0
10209,0,1,3400,-68,68,-676,3.3,16,0.50,25472.000000,0,27,6.0,0.0,9376.000000,50,0.0,0.0,0.0,1.0
10458,0,1,3400,-68,68,-673,6.7,15,0.50,24637.451172,0,27,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10707,0,1,3400,-68,68,-674,0.020,15,0.50,16127.490234,0,27,5.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-68,68,-678,0.0,15,0.50,2816.000000,0,27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11205,0,1,3400,-69,69,-681,5.0,15,0.50,27697.210938,0,27,5.0,0.0,7936.254883,0,0.0,0.0,0.0,1.0
