time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,-71,71,238,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-71,71,176,2.0,17,0.39,2912.000000,0,0.0,0.0,33,224,0,0.0,0.0,0.0,1.0
1494,0,1,3400,-71,71,178,2.5,17,0.50,1856.000000,0,27,1.4,24,19648.000000,17,0.0,0.0,0.0,1.0
1743,0,1,3400,-71,71,179,3.2,17,0.50,3200.000000,0,27,2.9,23,35456.000000,6,0.0,0.0,0.0,1.0
1992,0,1,3400,-71,71,178,3.9,17,0.50,8032.000000,0,27,1.1,0.0,18912.000000,0,0.0,0.0,0.0,1.0
2241,0,1,3400,-71,71,176,2.0,17,0.50,2272.000000,0,27,2.8,0.0,18080.000000,0,0.0,0.0,0.0,1.0
2490,0,1,3400,-71,71,175,0.0,16,0.50,0.0,0.0,27,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2739,0,1,3400,-71,71,173,3.8,16,0.84,5440.000000,33,27,7.5,186,0.0,0.0,0.0,0.0,0.0,1.0
2988,0,1,3400,-71,71,174,14,16,2.0,10304.000000,0,27,0.90,371,15904.000000,0,0.0,0.0,0.0,1.0
3237,0,1,3400,-71,71,177,5.3,16,0.67,23328.000000,0,27,2.4,0.0,83232.000000,2,0.0,0.0,0.0,1.0
3486,0,1,3400,-71,71,175,4.9,16,0.50,25760.000000,0,27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3735,0,1,3400,-71,71,174,13,17,2.0,2944.000000,50,27,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-71,71,176,13,17,1.6,16192.000000,0,27,5.6,0.0,8064.000000,0,0.0,0.0,0.0,1.0
4233,0,1,3400,-71,71,181,2.2,17,0.50,23584.000000,0,27,0.72,0.0,10432.000000,0,0.0,0.0,0.0,1.0
4482,0,1,3400,-71,71,183,6.9,17,1.4,8448.000000,4,27,0.85,0.0,1568.000000,0,0.0,0.0,0.0,1.0
4731,0,1,3400,-71,71,178,11,17,1.8,5024.000000,50,27,0.0040,0.0,1568.000000,0,0.0,0.0,0.0,1.0
4980,0,1,3400,-71,71,178,7.0,17,0.72,17088.000000,0,27,1.3,0.0,18688.000000,0,0.0,0.0,0.0,1.0
5229,0,1,3400,-71,71,180,8.1,17,0.50,10880.000000,0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5478,0,1,3400,-71,71,177,9.9,17,0.50,0.0,0.0,27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5727,0,1,3400,-71,71,175,9.4,17,0.57,5888.000000,20,27,2.0,144,0.0,50,0.0,0.0,0.0,1.0
5976,0,1,3400,-71,71,175,14,17,2.2,0.0,0.0,27,1.0,0.0,14336.000000,0,0.0,0.0,0.0,1.0
6225,0,1,3400,-71,71,176,7.9,16,1.0,7392.000000,11,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6474,0,1,3400,-71,71,182,7.6,17,0.50,16704.000000,0,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6723,0,1,3400,-71,71,177,10,17,0.79,11680.000000,25,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-71,71,177,13,17,1.8,4576.000000,40,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7221,0,1,3400,-71,71,175,6.6,17,0.50,5856.000000,0,27,0.55,0.0,15648.000000,0,0.0,0.0,0.0,1.0
7470,0,1,3400,-71,71,175,9.4,16,0.50,44224.000000,0,27,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7719,0,1,3400,-71,71,177,10,17,0.50,10816.000000,0,27,0.012,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7968,0,1,3400,-71,71,176,1.6,17,0.50,15840.000000,0,27,0.0080,0.0,12576.000000,0,0.0,0.0,0.0,1.0
8217,0,1,3400,-71,71,178,7.3,17,0.65,10880.000000,0,27,0.0080,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466,0,1,3400,-71,71,172,8.8,17,0.73,23392.000000,4,27,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8715,0,1,3400,-71,71,176,21,17,2.2,0.0,0.0,27,0.0080,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-71,71,185,11,17,1.2,17216.000000,0,27,0.0040,0.0,13856.000000,0,0.0,0.0,0.0,1.0
9213,0,1,3400,-71,71,182,15,17,1.9,12640.000000,14,27,0.0080,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-71,71,176,11,16,1.3,17312.000000,0,27,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9711,0,1,3400,-71,71,172,12,17,1.5,0.0,100.000000,27,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-71,71,179,14,17,1.7,27520.000000,0,27,0.060,0.0,17056.000000,0,0.0,0.0,0.0,1.0
10209,0,1,3400,-71,71,181,7.3,16,0.55,22592.000000,6,27,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-71,71,177,17,16,1.4,15776.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10707,0,1,3400,-71,71,181,16,17,1.9,576,50,27,0.0040,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-71,71,180,12,17,1.9,11648.000000,0,27,0.0,186,0.0,0.0,0.0,0.0,0.0,1.0
11205,0,1,3400,-71,71,182,4.1,17,0.50,17344.000000,0,27,0.90,0.0,12480.000000,0,0.0,0.0,0.0,1.0
11454,0,1,3400,-71,71,181,14,17,1.7,5888.000000,33,27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
