time,cc,pci,earfcn,rsrp,pl,cfo,dl_mcs,dl_snr,dl_turbo,dl_brate,dl_bler,ul_ta,ul_mcs,ul_buff,ul_brate,ul_bler,rf_o,rf_u,rf_l,is_attached
0,0,0,4294967295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,0,0,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
747,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
996,0,1,3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,0,1,3400,-59,59,-25,1.1,26,0.25,1895.582275,0,0.0,0.0,0.0,225,0,0.0,0.0,0.0,0.0
1494,0,1,3400,-59,59,-30,2.4,26,0.49,1019.920349,0,27,0.0,33,0.0,0.0,0.0,0.0,0.0,1.0
1743,0,1,3400,-59,59,-27,2.8,26,0.50,2240.000000,0,27,4.8,0.0,38272.000000,0,0.0,0.0,0.0,1.0
1992,0,1,3400,-59,59,-27,2.9,25,0.50,896,0,27,12,21,0.0,0.0,0.0,0.0,0.0,1.0
2241,0,1,3400,-59,59,-21,2.5,25,0.50,8352.000000,0,27,7.5,0.0,40224.000000,5,0.0,0.0,0.0,1.0
2490,0,1,3400,-59,59,-26,14,24,0.50,720256.000000,0,27,5.9,0.0,125856.000000,10,0.0,0.0,0.0,1.0
2739,0,1,3400,-59,59,-25,19,24,0.50,999872.000000,0,27,3.2,0.0,16192.000000,17,0.0,0.0,0.0,1.0
2988,0,1,3400,-59,59,-24,19,24,0.50,752896.000000,0,27,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3237,0,1,3400,-59,59,-27,19,24,0.51,724416.000000,0.4,27,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3486,0,1,3400,-59,59,-24,19,24,0.50,756768.000000,0,27,1.7,0.0,30304.000000,0,0.0,0.0,0.0,1.0
3735,0,1,3400,-59,59,-24,19,24,0.50,740480.000000,0,27,0.99,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3984,0,1,3400,-59,59,-24,20,24,0.50,757248.000000,0,27,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4233,0,1,3400,-59,59,-25,20,24,0.50,748352.000000,0,27,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4482,0,1,3400,-59,59,-24,20,24,0.54,746240.000000,1,27,0.65,0.0,31584.000000,0,0.0,0.0,0.0,1.0
4731,0,1,3400,-59,59,-25,20,24,0.50,770880.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4980,0,1,3400,-59,59,-27,19,24,0.50,751616.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5229,0,1,3400,-59,59,-26,20,24,0.50,754304.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5478,0,1,3400,-59,59,-30,20,24,0.50,755584.000000,0,27,0.0,0.0,27776.000000,0,0.0,0.0,0.0,1.0
5727,0,1,3400,-59,59,-33,20,24,0.50,762304.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5976,0,1,3400,-59,59,-26,20,23,0.50,756525.875000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6225,0,1,3400,-59,59,-25,20,23,0.52,747328.000000,0.4,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6474,0,1,3400,-59,59,-26,20,24,0.50,764096.000000,0,27,0.016,0.0,35136.000000,0,0.0,0.0,0.0,1.0
6723,0,1,3400,-59,59,-28,20,23,0.50,734976.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6972,0,1,3400,-59,59,-26,19,24,0.50,718688.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7221,0,1,3400,-59,59,-22,20,23,0.50,759710.812500,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7470,0,1,3400,-59,59,-29,20,24,0.51,758304.000000,0.4,27,0.0,0.0,30688.000000,0,0.0,0.0,0.0,1.0
7719,0,1,3400,-59,59,-29,18,24,0.50,673312.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7968,0,1,3400,-59,59,-30,19,24,0.50,745274.875000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8217,0,1,3400,-59,59,-32,20,24,0.50,761792.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8466,0,1,3400,-59,59,-31,19,24,0.50,727584.000000,0,27,0.0,0.0,28448.000000,0,0.0,0.0,0.0,1.0
8715,0,1,3400,-59,59,-26,20,24,0.50,757312.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8964,0,1,3400,-59,59,-23,19,24,0.50,743584.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9213,0,1,3400,-59,59,-22,20,24,0.50,756672.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9462,0,1,3400,-59,59,-24,19,24,0.50,705056.000000,0,27,0.0080,0.0,30496.000000,0,0.0,0.0,0.0,1.0
9711,0,1,3400,-59,59,-29,18,24,0.50,695808.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9960,0,1,3400,-59,59,-30,20,24,0.50,754816.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10209,0,1,3400,-59,59,-24,20,24,0.50,754880.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10458,0,1,3400,-59,59,-27,19,24,0.50,696672.000000,0,27,0.016,0.0,30496.000000,0,0.0,0.0,0.0,1.0
10707,0,1,3400,-59,59,-35,19,24,0.50,749216.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10956,0,1,3400,-59,59,-33,20,24,0.50,763968.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11205,0,1,3400,-59,59,-23,19,24,0.50,713248.000000,0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11454,0,1,3400,-59,59,-22,20,24,0.50,756736.000000,0,27,0.0,0.0,30016.000000,0,0.0,0.0,0.0,1.0
